07:24 Inver     : /tell test 
07:25 Inver     : JD
10:22 Inver     : ( ͡° ͜ʖ ͡°)
12:11 Inver     : s
12:37 Inver     : JEBANIE DISA
12:37 Inver     : POZDRAWIAm
14:59 000Mika   :  placed a sign @ world: x195, z261
  000Mika
15:07 000Mika   : siema
15:08 Inver     : Hej
15:08 Inver     : #tets
15:08 000Mika   : XDDD
15:08 Inver     : wbijasz na dc?
15:08 Inver     : ?
15:08 000Mika   : nie mogę
15:08 Inver     : czm ? :(
15:09 000Mika   : nie chce obudzic taty XD
15:09 Inver     : to nie wylaczaj mu televizora XDDDDDD
15:09 000Mika   : ale on nie jest koło telewizora XD
15:10 Inver     : i tak nie wylaczaj XD
15:10 Inver     : do mema nawiazuje XD
15:10 000Mika   : wiem którego XD
15:11 Inver     : ty juz na survivalu grasz?
15:11 000Mika   : tak
15:12 Inver     : xd
15:12 000Mika   : XDDD
15:12 Inver     : Widizlaas "zaczatek" spawnu? XD
15:12 000Mika   : tak
15:13 Inver     : O to nie dobrze xd
15:13 Inver     : znacyz sie co XD
15:13 000Mika   : XDD
15:18 Inver     : .
15:26 Inver     : aha XD
15:26 Inver     : mialas lagi?
15:27 000Mika   : nie
15:27 000Mika   : no w sumie raz mi się zacieło
15:27 Inver     : XD
15:27 Inver     : jak cos to nie ja
15:28 000Mika   : XDD
15:29 Inver     : F
15:29 000Mika   : kurwa mać
15:29 Inver     : D:
15:29 Inver     : nie dziala /back?
15:30 000Mika   : i jescze nie mogę się cofnąć
15:31 Inver     : myslisz ze w 2. dzien bedize juz dragon? XD
15:31 000Mika   : pewnie tak XDD
15:32 Inver     : no to potem idziemy do podwodnej
15:37 000Mika   : Paweł poratuj głodnego
15:37 Inver     : mozesz dac mi op'a?
15:37 Inver     : xddd
15:37 Inver     : daj opa
15:37 000Mika   : XDDD
15:37 Inver     : ja dopeiro zaczynam surviivala
15:38 000Mika   : daj mi jedzenie :((
15:38 Inver     : ale moge cie z komendy zakarmix xd
15:38 Inver     : prosze
15:38 000Mika   : dziękuje
15:38 Inver     : idziesz potem na lola?
15:39 000Mika   : nie chyba
15:39 Inver     : chyba?
15:40 Inver     : :(
15:40 000Mika   : kurwa
15:41 Inver     : ):
15:41 000Mika   : ja już nie znajdę moich rzeczy
15:41 Inver     : back nie dziala?
15:41 000Mika   : nie
15:41 Inver     : dziwne
15:42 000Mika   : dobra mam
15:42 Inver     : zastanawiam sie czy by nie dac keepInventory trye
15:42 Inver     : aleee
15:42 Inver     : ale wtedy specjalnie sie wywwala zeby food sie uzuplenil to moze nie XD
15:42 000Mika   : XDDD
15:45 Inver     : kurdea teraz ja gloduje XD
15:45 Inver     : ponoc Minecraft a jednak Dont Strave
15:45 Inver     : taka gierka smieszna
15:45 000Mika   : witamy w Afryce
15:45 Inver     : XD
15:45 Inver     : a wiesz ze jestem na pustyni teraz? XD
15:45 000Mika   : XDDD
16:02 Inver     : zw
16:02 000Mika   : luz
16:06 Inver     : lós?
16:06 000Mika   : tak XDD
16:07 Inver     : a to Git GUd
16:07 000Mika   : kurwa znalazłam
16:07 000Mika   : wioskę przy lesie świerkowym
16:07 Inver     : moge spojrzec okiem?
16:07 Inver     : ;)
16:08 000Mika   : nie
16:08 Inver     : XD
16:08 000Mika   : XDD
16:08 Inver     : ale farciara XD
16:09 000Mika   : XD
16:12 Inver     : Mojang nerf skeletons pls
16:12 000Mika   : XD
16:15 Inver     : jakby co to mam nametaga
16:15 000Mika   : co chcesz za niego ?
16:15 Inver     : nie no tobie moge dac po prostu XD
16:15 000Mika   : to spoko XD
16:16 000Mika   : danke
16:16 Inver     : nie nawiedza mnie xd
16:16 Inver     : bitte schon
16:32 Inver     : od ktr jutro lekcje zaczynamy?
16:32 000Mika   : chyba 10.10
16:32 Inver     : kurdea, to sie nie wyspie chyba xD
16:32 000Mika   : XDDD
16:34 Inver     : ChYBa BeDZIe SB DuPNaC MonSTerKa
16:34 Inver     : nie ze cos
16:34 000Mika   : nie mogę :((
16:34 Inver     : kto ci zabronil?
16:34 000Mika   : moja silna wola
16:34 Inver     : XD
16:35 Inver     : czy taka silna to sie przekonamy dopiero XD
16:35 000Mika   : XDD
16:36 Inver     : o kurde, bo jak beda te testy jutro XD
16:36 Inver     : tak czy inaczej zapraszam na dc XD
16:36 000Mika   : spoko
16:37 000Mika   : F
16:37 Inver     : zle obliczylem xd
16:37 Inver     : Moje itemy :(
16:37 000Mika   : powodzenia XD
16:38 Inver     : kurdea
16:38 Inver     : jebac creepery frajerwerkami
16:39 Inver     : nie no, nie znajde
16:39 Inver     : nie ma bata Xd
16:39 000Mika   : rada ustawiaj sobie sethoma
16:40 Inver     : Jestem HARDKOREM
16:40 000Mika   : XDDD
16:40 Inver     : to chyba czas na Dark Soulsy
16:40 Inver     : oi tag
16:40 000Mika   : XDDD
16:41 Inver     : tak jak Pan Tadeusz jest epopeja narodowa tak dla mnie Dark Souls jest arcygra XD
16:41 Inver     : jedyny minus jest taki ze nie da sie jej zapomniec i od nowa zagrac
16:41 Inver     : xd
16:42 000Mika   : XDD
16:42 Inver     : zet wu
16:44 000Mika   : Paweł
16:44 Inver     : ?
16:44 000Mika   : potrzebuje twojej pomocy
16:45 Inver     : w czym
16:45 000Mika   : bo mam jakis zjebany komputer i f3 mi nie działa
16:45 000Mika   : tepniesz sie do mnie i powiesz jaki mam poziom
16:45 Inver     : a f1?
16:45 Inver     : mozesz sama sprawdizc
16:45 Inver     : ./position
16:45 000Mika   : danke
16:46 Inver     : no nie wiem gdzie to deadlem
16:46 Inver     : chyba to ten czas co sie idze na lola XD
16:46 Inver     : ale zaraz
16:49 000Mika   : kurwa mać
16:49 000Mika   : spadł mi kilof diamentowy do lawy
16:50 Inver     : jak xd
16:50 000Mika   : normalnie
16:50 Inver     : wyslizgnal sie?
16:50 000Mika   : tak
16:50 Inver     : XD
16:51 Inver     : no tak, przeciez to nowy feature od 1.16.3
16:51 000Mika   : Paweł to nie śmieszne
16:51 Inver     : przepraszam :((
16:51 000Mika   : nic mi dzisiaj nie wychodzi
16:52 Inver     : idziesz za raz na lola?
16:52 Inver     : ?
16:53 000Mika   : nie
16:53 Inver     : ok
16:53 000Mika   :  placed a sign @ world: x531, z88
  skromne
  progi
  000Miki
17:01 Inver     : Dobra ja spadam na razie, pa
17:01 000Mika   : pa
