23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x706, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x706, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
23:57 MNLStaar placed suspicious SALMON_BUCKET @ world: x704, z281
00:04 Inver     : . /tpa nick
10:22 Inver     : JD
10:27 Inver     : s
10:46 Inver     : test
10:55 Pitts     : cinciang are here?
10:55 Pitts     : xD
10:56 Pitts     : okej
11:20 CinCiang  : cześć Artur
11:20 Pitts     : admin w szlafroku yey xD
11:21 CinCiang  : yey
11:22 CinCiang  : pigstep jest czadowy xD
11:22 Pitts     : tak
11:24 CinCiang  : KTO TO MNLSTAAR;S
11:24 Pitts     : idk
11:24 CinCiang  : lel
11:25 CinCiang  : &f/v
11:25 CinCiang  : ejejejej
11:27 CinCiang  : Pitts masz to cos ze zwiru?
11:27 Pitts     : tam
11:27 Pitts     : tak
11:27 Pitts     : but w netherze jestem
11:28 CinCiang  : tarapaty
11:28 Pitts     : ile ci trzeba/
11:28 CinCiang  : +/-8
11:28 Pitts     : masz blaze rody?
11:29 CinCiang  : nie mam ale moge naexpic
11:29 CinCiang  : XD
11:29 Pitts     : dzieki
11:30 CinCiang  : chcesz wiecej>?
11:30 Pitts     : nie
11:30 CinCiang  : okay
11:33 CinCiang  : nie dzialaja kolorki ;<
11:36 Pitts     : mam pytanie
11:36 CinCiang  : nom
11:37 Pitts     : jest mozliwosc zmienia poziomu trudnosci na najwyzszy?
11:37 CinCiang  : prosze
11:37 Pitts     : dzieki
11:38 CinCiang  : &4&lAdmin w szlafroku ma cie na oku
11:40 CinCiang  : Pitts moge kupic mending?
11:41 Pitts     : poczekaj bo sie zamienia
11:41 CinCiang  : k
11:41 Pitts     : masz emeraldy?
11:41 CinCiang  : si
11:43 BlockPlayer002: 10/10
11:44 Pitts         : ?
11:44 BlockPlayer002: twój domek
11:44 Pitts         : dlugo nie postoi mam zamiar przebudowac
11:45 Pitts         : pawel come
11:45 Pitts         : 14 emeradlow za mending
11:45 Pitts         : zamienic go jeszcze raz?
11:47 CinCiang      : &6&lzrobcie dzialki na swoich domkach jesli brakuje wam blokow to piszcie
11:49 Pitts         : f
11:49 CinCiang      : xDDDDDD
11:52 BlockPlayer002 placed suspicious WATER_BUCKET @ world: x551, z179
11:53 Pitts         : wojtek whats u doing xD?
11:53 Pitts         : acrobatic nabijasz?
11:53 Inver         : XD
11:53 BlockPlayer002: Spadłem
11:53 BlockPlayer002: miałem zaćmienie
11:54 BlockPlayer002: i mnie mała świnia zrzuciła XFD
11:54 Pitts         : xD
11:55 Pitts         : inver mam cos czego pragniesz
11:55 Inver         : za ile?
11:56 Pitts         : za dix jedna ksiazka
11:56 Pitts         : 8
11:56 Inver         : 8 diaxow za jedna?
11:56 Pitts         : tak
11:56 Inver         : a jak kupie hurtowo to bedzie znizka?
11:56 Pitts         : hurtowo znaczy ile xD
11:56 Inver         : do 6
11:56 Inver         : tak z 12
11:56 Inver         : albo i wiecej
11:56 Inver         : 15
11:57 Inver         : za 90 diaxow bym kupil ile moge
11:57 Inver         : czyli 15?
11:57 Pitts         : ok tylko czekaj
11:58 Inver         : i git
11:58 Pitts         : no kurwa mac
11:58 Pitts         : jacek mi wzial skore
11:58 Inver         : xd
11:58 Inver         : a ile potrzebuuejsz?
11:58 Pitts         : 8 skory
11:59 Inver         : dobra moge w cenie 90 diaxow dodac to 8 skory za 15 ksiazek i git xd
11:59 Pitts         : okej xd
12:00 Pitts         : 11 czekaj
12:00 Pitts         : na restock
12:00 Inver         : ok
12:00 Inver         : to jak cos pisz
12:00 Pitts         : no spoko napisze ci
12:00 BlockPlayer002:  placed a sign @ world: x552, z179
  S
12:02 BlockPlayer002:  placed a sign @ world: x552, z181
  s
12:08 Inver         : 3?
12:08 Pitts         : 4
12:09 Pitts         : nvm
12:09 Pitts         : lag
12:09 Inver         : o dobra git xd
12:20 CinCiang      : jak sie dodawalo do dzialki
12:20 Pitts         : trust
12:20 Inver         : ./trust
12:20 CinCiang      : k
12:23 CinCiang      : Pitts po ile ty masz mending?
12:24 Pitts         : 1 ksiazka za 8 diaxow
12:24 CinCiang      : eme hehe
12:24 Pitts         : masz mieczyk z lootingiem?
12:25 CinCiang      : mam
12:25 Pitts         : XDDDDDD
12:25 Pitts         : big black cock nice
12:25 Pitts         : ile cchesz ksiaze?
12:26 Pitts         : serio?
12:26 CinCiang      : co serio
12:26 BlockPlayer002: \
